Target,Weight,Length,Diagonal,Height,Width
a,242,25.4,30,11.52,4.02
a,290,26.3,31.2,12.48,4.3056
a,340,26.5,31.1,12.3778,4.6961
a,363,29,33.5,12.73,4.4555
a,430,29,34,12.444,5.134
a,450,29.7,34.7,13.6024,4.9274
a,500,29.7,34.5,14.1795,5.2785
a,390,30,35,12.67,4.69
a,450,30,35.1,14.0049,4.8438
a,500,30.7,36.2,14.2266,4.9594
a,475,31,36.2,14.2628,5.1042
a,500,31,36.2,14.3714,4.8146
a,500,31.5,36.4,13.7592,4.368
a,340,32,37.3,13.9129,5.0728
a,600,32,37.2,14.9544,5.1708
a,600,32,37.2,15.438,5.58
a,700,33,38.3,14.8604,5.2854
a,700,33,38.5,14.938,5.1975
a,610,33.5,38.6,15.633,5.1338
a,650,33.5,38.7,14.4738,5.7276
a,575,34,39.5,15.1285,5.5695
a,685,34,39.2,15.9936,5.3704
a,620,34.5,39.7,15.5227,5.2801
a,680,35,40.6,15.4686,6.1306
a,700,35,40.5,16.2405,5.589
a,725,35,40.9,16.36,6.0532
a,720,35,40.6,16.3618,6.09
a,714,36,41.5,16.517,5.8515
a,850,36,41.6,16.8896,6.1984
a,1000,37,42.6,18.957,6.603
a,920,38.5,44.1,18.0369,6.3063
a,955,38.5,44,18.084,6.292
a,925,39.5,45.3,18.7542,6.7497
a,975,41,45.9,18.6354,6.7473
a,950,41,46.5,17.6235,6.3705
b,40,14.1,16.2,4.1472,2.268
b,69,18.2,20.3,5.2983,2.8217
b,78,18.8,21.2,5.5756,2.9044
b,87,19.8,22.2,5.6166,3.1746
b,120,20,22.2,6.216,3.5742
b,0,20.5,22.8,6.4752,3.3516
b,110,20.8,23.1,6.1677,3.3957
b,120,21,23.7,6.1146,3.2943
b,150,22,24.7,5.8045,3.7544
b,145,22,24.3,6.6339,3.5478
b,160,22.5,25.3,7.0334,3.8203
b,140,22.5,25,6.55,3.325
b,160,22.5,25,6.4,3.8
b,169,24,27.2,7.5344,3.8352
b,161,23.4,26.7,6.9153,3.6312
b,200,23.5,26.8,7.3968,4.1272
b,180,25.2,27.9,7.0866,3.906
b,290,26,29.2,8.8768,4.4968
b,272,27,30.6,8.568,4.7736
b,390,31.7,35,9.485,5.355
c,270,26,28.7,8.3804,4.2476
c,270,26.5,29.3,8.1454,4.2485
c,306,28,30.8,8.778,4.6816
c,540,31,34,10.744,6.562
c,800,36.4,39.6,11.7612,6.5736
c,1000,40,43.5,12.354,6.525
d,55,14.7,16.5,6.8475,2.3265
d,60,15.5,17.4,6.5772,2.3142
d,90,17.7,19.8,7.4052,2.673
d,120,19,21.3,8.3922,2.9181
d,150,20,22.4,8.8928,3.2928
d,140,20.7,23.2,8.5376,3.2944
d,170,20.7,23.2,9.396,3.4104
d,145,21.5,24.1,9.7364,3.1571
d,200,23,25.8,10.3458,3.6636
d,273,25,28,11.088,4.144
d,300,26,29,11.368,4.234
e,5.9,8.4,8.8,2.112,1.408
e,32,13.7,14.7,3.528,1.9992
e,40,15,16,3.824,2.432
e,51.5,16.2,17.2,4.5924,2.6316
e,70,17.4,18.5,4.588,2.9415
